DCT_KEY;DCT_VAL;DCT_LNG_ID
calendar.clear.label;Czyść;1
calendar.close.label;Wyjdź;1
calendar.day;Dzień;1
calendar.day.fri.full;Piątek;1
calendar.day.fri.letter;P;1
calendar.day.fri.short;Pt;1
calendar.day.mon.full;Poniedziałek;1
calendar.day.mon.letter;P;1
calendar.day.mon.short;Pn;1
calendar.day.sat.full;Sobota;1
calendar.day.sat.letter;S;1
calendar.day.sat.short;Sb;1
calendar.day.sun.full;Niedziela;1
calendar.day.sun.letter;N;1
calendar.day.sun.short;Ndz;1
calendar.day.thu.full;Czwartek;1
calendar.day.thu.letter;C;1
calendar.day.thu.short;Czw;1
calendar.day.tue.full;Wtorek;1
calendar.day.tue.letter;W;1
calendar.day.tue.short;Wt;1
calendar.day.wen.full;Środa;1
calendar.day.wen.letter;Ś;1
calendar.day.wen.short;Śr;1
calendar.format;dd mmm yyyy;1
calendar.format.fromServer;YYYY-MM-DD;1
calendar.format.momentjs;DD MMM YYYY;1
calendar.format.submit;yyyy-mm-dd;1
calendar.month.apr.full;Kwiecień;1
calendar.month.apr.short;Kwi;1
calendar.month.aug.full;Sierpień;1
calendar.month.aug.short;Sie;1
calendar.month.dec.full;Grudzień;1
calendar.month.dec.short;Gru;1
calendar.month.feb.full;Luty;1
calendar.month.feb.short;Lut;1
calendar.month.jan.full;Styczeń;1
calendar.month.jan.short;Sty;1
calendar.month.jul.full;Lipiec;1
calendar.month.jul.short;Lip;1
calendar.month.jun.full;Czerwiec;1
calendar.month.jun.short;Cze;1
calendar.month.mar.full;Marzec;1
calendar.month.mar.short;Mar;1
calendar.month.may.full;Maj;1
calendar.month.may.short;Maj;1
calendar.month.nov.full;Listopad;1
calendar.month.nov.short;Lis;1
calendar.month.oct.full;Październik;1
calendar.month.oct.short;Paz;1
calendar.monthSelect.label;Wybierz miesiąc;1
calendar.month.sep.full;Wrzesień;1
calendar.month.sep.short;Wrz;1
calendar.nextDay.label;Następny dzień;1
calendar.prevDay.label;Poprzedni dzień;1
calendar.today.label;Dzisiaj;1
calendar.yearSelect.label;Wybierz rok;1
global.add.label;Dodaj;1
global.close.label;Zamknij;1
global.currency.label;zł;1
global.delete.label;Usuń;1
global.edit.label;Edytuj;1
global.multiply.label;x;1
global.weight.label;kg;1
global.endDate.label;Data końcowa;1
global.startDate.label;Data początkowa;1
navbar.about.label;O aplikacji;1
navbar.applicationName.label;My Coach;1
navbar.foodPrices.label;Ceny żywności;1
navbar.reports.label;Raporty;1
navbar.trainings.label;Treningi;1
navbar.weights.label;Wagi;1
page.about.content.first;Aplikacja służąca usprawnieniu twojego zdrowego lifestyle'u. Łatwo możesz notować swoje pomiary, ceny żywności, serie i powtórzenia ćwiczeń...możesz nawet składac w aplikacji raporty!;1
page.about.content.second; Jeżeli widzisz rzeczy, które można usprawnić, pisz śmiało na artur@simplecoding.pl. Jeżeli chcesz usprawnić aplikację, zapraszam do pull requestów na githubie;1
page.about.title;My Coach;1
page.prices.add.price.tooltip;Dodaj cenę;1
page.prices.add.product.tooltip;Dodaj produkt;1
page.prices.add.shoppingList.tooltip;Dodaj listę zakupów;1
page.prices.avgPrice.label;Średnia cena:;1
page.prices.day.label;Dzień;1
page.prices.delete.price.tooltip;Usuń cenę;1
page.prices.delete.prices.tooltip;Usuń ceny;1
page.prices.delete.product.tooltip;Usuń produkt;1
page.prices.edit.prices.tooltip;Edytuj ceny;1
page.prices.edit.product.tooltip;Edytuj produkt;1
page.prices.list.noData.click.info;Dodaj swój pierwszy produkt;1
page.prices.list.noData.info;Obecnie nie posiadasz żadnych produktów;1
page.prices.modal.add.price.title;Dodaj cenę;1
page.prices.modal.add.product.title;Dodaj produkt;1
page.prices.modal.add.date.label;Data;1
page.prices.modal.add.image.label;Zdjęcie;1
page.prices.modal.add.place.label;Miejsce;1
page.prices.modal.add.price.label;Cena;1
page.prices.modal.add.name.label;Nazwa produktu;1
page.prices.modal.add.quantity.label;Ilość;1
page.prices.modal.add.selectImage.label;Wybierz zdjęcie;1
page.prices.modal.add.shoppingList.title;Lista zakupów;1
page.prices.modal.delete.product.content;Jesteś pewien, że chcesz usunac ten produkt?;1
page.prices.modal.edit.title;Edytuj produkt;1
page.prices.place.label;Miejsce;1
page.prices.price.label;Cena;1
page.prices.product.label;Produkt;1
page.prices.noData.click.info;Dodaj pierwszą cenę;1
page.prices.noData.info;Obecnie nie posiadasz żadnych cen;1
page.prices.quantity.label;Ilość;1
page.reports.add.tooltip;Dodaj raport;1
page.reports.card.title;Raport;1
page.reports.delete.tooltip;Usuń raport;1
page.reports.edit.tooltip;Edytuj raport;1
page.reports.list.noData.click.info;Dodaj swój pierwszy raport;1
page.reports.list.noData.info;Obecnie nie posiadasz żadnych raportów;1
page.reports.loadFirst.tooltip;Wczytaj najpierw raport!;1
page.reports.modal.add.title;Dodaj raport;1
page.reports.modal.delete.content;Jesteś pewien, że chcesz usunac ten raport?;1
page.reports.modal.reportContent.label;Treść raportu;1
page.trainings.add.cycle.tooltip;Dodaj cykl;1
page.trainings.add.exercises.tooltip;Dodaj ćwiczenia;1
page.trainings.add.training.tooltip;Dodaj trening;1
page.trainings.comment.label;Komentarz;1
page.trainings.cycle.card.title;Cykl;1
page.trainings.cycle.current;Obecny;1
page.trainings.cycle.finishAll.tooltip;Musisz najpierw zakończyć wszystkie cykle!;1
page.trainings.cycle.finished;Skończony;1
page.trainings.cycle.notActive.tooltip;Musisz posiadać aktywny cykl!;1
page.trainings.cycle.isFinished;Cykl jest zakończony;1
